Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,062101,2023,01,30.6,Y
IDCJAC0002,062101,2023,02,30.6,Y
IDCJAC0002,062101,2023,03,29.8,Y
IDCJAC0002,062101,2023,04,22.0,Y
IDCJAC0002,062101,2023,05,17.8,Y
IDCJAC0002,062101,2023,06,15.6,Y
IDCJAC0002,062101,2023,07,16.6,Y
IDCJAC0002,062101,2023,08,18.8,Y
IDCJAC0002,062101,2023,09,23.9,Y
IDCJAC0002,062101,2023,10,25.2,Y
IDCJAC0002,062101,2023,11,27.8,Y
IDCJAC0002,062101,2023,12,31.5,Y
IDCJAC0002,062101,2024,01,31.1,Y
IDCJAC0002,062101,2024,02,30.8,Y
IDCJAC0002,062101,2024,03,28.8,Y
IDCJAC0002,062101,2024,04,22.4,Y
