Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,062101,2010,06,1.6,Y
IDCJAC0004,062101,2010,07,2.8,Y
IDCJAC0004,062101,2010,08,2.8,Y
IDCJAC0004,062101,2010,09,5.5,Y
IDCJAC0004,062101,2010,10,9.5,Y
IDCJAC0004,062101,2010,11,12.0,Y
IDCJAC0004,062101,2010,12,14.4,Y
IDCJAC0004,062101,2011,01,17.0,Y
IDCJAC0004,062101,2011,02,16.6,Y
IDCJAC0004,062101,2011,03,13.6,Y
IDCJAC0004,062101,2011,04,8.2,Y
IDCJAC0004,062101,2011,05,1.9,Y
IDCJAC0004,062101,2011,06,2.8,Y
IDCJAC0004,062101,2011,07,0.7,Y
IDCJAC0004,062101,2011,08,2.5,Y
IDCJAC0004,062101,2011,09,4.2,Y
IDCJAC0004,062101,2011,10,7.7,Y
IDCJAC0004,062101,2011,11,12.8,Y
IDCJAC0004,062101,2011,12,12.8,Y
IDCJAC0004,062101,2012,01,15.3,Y
IDCJAC0004,062101,2012,02,14.9,Y
IDCJAC0004,062101,2012,03,13.7,Y
IDCJAC0004,062101,2012,04,8.4,Y
IDCJAC0004,062101,2012,05,0.8,Y
IDCJAC0004,062101,2012,06,2.9,Y
IDCJAC0004,062101,2012,07,0.2,Y
IDCJAC0004,062101,2012,08,-0.8,Y
IDCJAC0004,062101,2012,09,2.4,Y
IDCJAC0004,062101,2012,10,5.4,Y
IDCJAC0004,062101,2012,11,12.2,Y
IDCJAC0004,062101,2012,12,14.7,Y
IDCJAC0004,062101,2013,01,17.3,Y
IDCJAC0004,062101,2013,02,15.6,Y
IDCJAC0004,062101,2013,03,13.0,Y
IDCJAC0004,062101,2013,04,6.0,Y
IDCJAC0004,062101,2013,05,3.7,Y
IDCJAC0004,062101,2013,06,3.9,Y
IDCJAC0004,062101,2013,07,1.6,Y
IDCJAC0004,062101,2013,08,1.2,Y
IDCJAC0004,062101,2013,09,4.8,Y
IDCJAC0004,062101,2013,10,5.8,Y
IDCJAC0004,062101,2013,11,9.8,Y
IDCJAC0004,062101,2013,12,12.9,Y
IDCJAC0004,062101,2014,01,16.2,Y
IDCJAC0004,062101,2014,02,16.1,Y
IDCJAC0004,062101,2014,03,13.8,Y
IDCJAC0004,062101,2014,04,9.7,Y
IDCJAC0004,062101,2014,05,4.3,Y
IDCJAC0004,062101,2014,06,3.9,Y
IDCJAC0004,062101,2014,07,0.1,Y
IDCJAC0004,062101,2014,08,2.3,Y
IDCJAC0004,062101,2014,09,3.9,Y
IDCJAC0004,062101,2014,10,7.1,Y
IDCJAC0004,062101,2014,11,12.7,Y
IDCJAC0004,062101,2014,12,15.4,Y
IDCJAC0004,062101,2015,01,16.0,Y
IDCJAC0004,062101,2015,02,16.2,Y
IDCJAC0004,062101,2015,03,12.8,Y
IDCJAC0004,062101,2015,04,10.1,Y
IDCJAC0004,062101,2015,05,6.6,Y
IDCJAC0004,062101,2015,06,2.4,Y
IDCJAC0004,062101,2015,07,1.2,Y
IDCJAC0004,062101,2015,08,2.2,Y
IDCJAC0004,062101,2015,09,3.2,Y
IDCJAC0004,062101,2015,10,10.6,Y
IDCJAC0004,062101,2015,11,13.2,Y
IDCJAC0004,062101,2015,12,14.6,Y
IDCJAC0004,062101,2016,01,16.0,Y
IDCJAC0004,062101,2016,02,14.6,Y
IDCJAC0004,062101,2016,03,14.4,Y
IDCJAC0004,062101,2016,04,9.7,Y
IDCJAC0004,062101,2016,05,6.0,Y
IDCJAC0004,062101,2016,06,5.1,Y
IDCJAC0004,062101,2016,07,3.6,Y
IDCJAC0004,062101,2016,08,2.0,Y
IDCJAC0004,062101,2016,09,6.3,Y
IDCJAC0004,062101,2016,10,6.6,Y
IDCJAC0004,062101,2016,11,9.3,Y
IDCJAC0004,062101,2016,12,15.1,Y
IDCJAC0004,062101,2017,01,18.7,Y
IDCJAC0004,062101,2017,02,16.8,Y
IDCJAC0004,062101,2017,03,16.2,Y
IDCJAC0004,062101,2017,04,8.2,Y
IDCJAC0004,062101,2017,05,4.0,Y
IDCJAC0004,062101,2017,06,1.5,Y
IDCJAC0004,062101,2017,07,-2.2,Y
IDCJAC0004,062101,2017,08,0.1,Y
IDCJAC0004,062101,2017,09,2.6,Y
IDCJAC0004,062101,2017,10,9.9,Y
IDCJAC0004,062101,2017,11,12.2,Y
IDCJAC0004,062101,2017,12,16.3,Y
IDCJAC0004,062101,2018,01,16.9,Y
IDCJAC0004,062101,2018,02,15.9,Y
IDCJAC0004,062101,2018,03,14.1,Y
IDCJAC0004,062101,2018,04,10.5,Y
IDCJAC0004,062101,2018,05,2.8,Y
IDCJAC0004,062101,2018,06,1.8,Y
IDCJAC0004,062101,2018,07,-0.6,Y
IDCJAC0004,062101,2018,08,0.8,Y
IDCJAC0004,062101,2018,09,4.8,Y
IDCJAC0004,062101,2018,10,10.0,Y
IDCJAC0004,062101,2018,11,12.1,Y
IDCJAC0004,062101,2018,12,14.9,Y
IDCJAC0004,062101,2019,01,20.2,Y
IDCJAC0004,062101,2019,02,16.6,Y
IDCJAC0004,062101,2019,03,15.1,Y
IDCJAC0004,062101,2019,04,9.5,Y
IDCJAC0004,062101,2019,05,4.0,Y
IDCJAC0004,062101,2019,06,0.6,Y
IDCJAC0004,062101,2019,07,0.9,Y
IDCJAC0004,062101,2019,08,-0.4,Y
IDCJAC0004,062101,2019,09,3.5,Y
IDCJAC0004,062101,2019,10,8.2,Y
IDCJAC0004,062101,2019,11,11.3,Y
IDCJAC0004,062101,2019,12,14.7,Y
IDCJAC0004,062101,2020,01,19.6,Y
IDCJAC0004,062101,2020,02,17.5,Y
IDCJAC0004,062101,2020,03,13.5,Y
IDCJAC0004,062101,2020,04,8.8,Y
IDCJAC0004,062101,2020,05,4.1,Y
IDCJAC0004,062101,2020,06,2.9,Y
IDCJAC0004,062101,2020,07,1.6,Y
IDCJAC0004,062101,2020,08,2.1,Y
IDCJAC0004,062101,2020,09,5.7,Y
IDCJAC0004,062101,2020,10,9.0,Y
IDCJAC0004,062101,2020,11,11.9,Y
IDCJAC0004,062101,2020,12,14.8,Y
IDCJAC0004,062101,2021,01,14.7,Y
IDCJAC0004,062101,2021,02,15.4,Y
IDCJAC0004,062101,2021,03,13.1,Y
IDCJAC0004,062101,2021,04,5.2,Y
IDCJAC0004,062101,2021,05,3.6,Y
IDCJAC0004,062101,2021,06,2.4,Y
IDCJAC0004,062101,2021,07,1.9,Y
IDCJAC0004,062101,2021,08,2.0,Y
IDCJAC0004,062101,2021,09,3.6,Y
IDCJAC0004,062101,2021,10,6.2,Y
IDCJAC0004,062101,2021,11,12.2,Y
IDCJAC0004,062101,2021,12,14.0,Y
IDCJAC0004,062101,2022,01,17.2,Y
IDCJAC0004,062101,2022,02,15.1,Y
IDCJAC0004,062101,2022,03,14.9,Y
IDCJAC0004,062101,2022,04,10.0,Y
IDCJAC0004,062101,2022,05,5.8,Y
IDCJAC0004,062101,2022,06,1.4,Y
IDCJAC0004,062101,2022,07,2.9,Y
IDCJAC0004,062101,2022,08,3.5,Y
IDCJAC0004,062101,2022,09,6.0,Y
IDCJAC0004,062101,2022,10,10.2,Y
IDCJAC0004,062101,2022,11,8.9,Y
IDCJAC0004,062101,2022,12,10.3,Y
IDCJAC0004,062101,2023,01,15.1,Y
IDCJAC0004,062101,2023,02,14.3,Y
IDCJAC0004,062101,2023,03,13.2,Y
IDCJAC0004,062101,2023,04,8.2,Y
IDCJAC0004,062101,2023,05,0.5,Y
IDCJAC0004,062101,2023,06,1.6,Y
IDCJAC0004,062101,2023,07,1.9,Y
IDCJAC0004,062101,2023,08,2.1,Y
IDCJAC0004,062101,2023,09,3.4,Y
IDCJAC0004,062101,2023,10,7.5,Y
IDCJAC0004,062101,2023,11,12.9,Y
IDCJAC0004,062101,2023,12,15.6,Y
IDCJAC0004,062101,2024,01,17.7,Y
IDCJAC0004,062101,2024,02,17.6,Y
IDCJAC0004,062101,2024,03,13.8,Y
IDCJAC0004,062101,2024,04,7.9,Y
