Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,041034,1898,01,168.4,Y
IDCJAC0001,041034,1898,02,37.1,Y
IDCJAC0001,041034,1898,03,20.8,Y
IDCJAC0001,041034,1898,04,0.0,Y
IDCJAC0001,041034,1898,05,27.8,Y
IDCJAC0001,041034,1898,06,50.0,Y
IDCJAC0001,041034,1898,07,25.4,Y
IDCJAC0001,041034,1898,08,16.3,Y
IDCJAC0001,041034,1898,09,57.9,Y
IDCJAC0001,041034,1898,10,30.7,Y
IDCJAC0001,041034,1898,11,16.3,Y
IDCJAC0001,041034,1898,12,61.5,Y
IDCJAC0001,041034,1899,01,122.4,Y
IDCJAC0001,041034,1899,02,96.2,Y
IDCJAC0001,041034,1899,03,5.6,Y
IDCJAC0001,041034,1899,04,57.7,Y
IDCJAC0001,041034,1899,05,34.8,Y
IDCJAC0001,041034,1899,06,17.8,Y
IDCJAC0001,041034,1899,07,59.4,Y
IDCJAC0001,041034,1899,08,40.1,Y
IDCJAC0001,041034,1899,09,0.0,Y
IDCJAC0001,041034,1899,10,28.4,Y
IDCJAC0001,041034,1899,11,43.9,Y
IDCJAC0001,041034,1899,12,97.3,Y
IDCJAC0001,041034,1900,01,0.0,Y
IDCJAC0001,041034,1900,02,109.5,Y
IDCJAC0001,041034,1900,03,25.4,Y
IDCJAC0001,041034,1900,04,45.5,Y
IDCJAC0001,041034,1900,05,77.3,Y
IDCJAC0001,041034,1900,06,32.3,Y
IDCJAC0001,041034,1900,07,63.6,Y
IDCJAC0001,041034,1900,08,35.2,Y
IDCJAC0001,041034,1900,09,38.4,Y
IDCJAC0001,041034,1900,10,1.8,Y
IDCJAC0001,041034,1900,11,65.0,Y
IDCJAC0001,041034,1900,12,53.9,Y
IDCJAC0001,041034,1901,01,41.9,Y
IDCJAC0001,041034,1901,02,4.3,Y
IDCJAC0001,041034,1901,03,92.2,Y
IDCJAC0001,041034,1901,04,50.0,Y
IDCJAC0001,041034,1901,05,25.9,Y
IDCJAC0001,041034,1901,06,88.1,Y
IDCJAC0001,041034,1901,07,38.3,Y
IDCJAC0001,041034,1901,08,65.5,Y
IDCJAC0001,041034,1901,09,28.9,Y
IDCJAC0001,041034,1901,10,63.6,Y
IDCJAC0001,041034,1901,11,1.5,Y
IDCJAC0001,041034,1901,12,13.9,Y
IDCJAC0001,041034,1902,01,75.2,Y
IDCJAC0001,041034,1902,02,8.8,Y
IDCJAC0001,041034,1902,03,22.8,Y
IDCJAC0001,041034,1902,04,0.0,Y
IDCJAC0001,041034,1902,05,2.8,Y
IDCJAC0001,041034,1902,06,38.6,Y
IDCJAC0001,041034,1902,07,0.5,Y
IDCJAC0001,041034,1902,08,18.1,Y
IDCJAC0001,041034,1902,09,11.6,Y
IDCJAC0001,041034,1902,10,40.3,Y
IDCJAC0001,041034,1902,11,91.8,Y
IDCJAC0001,041034,1902,12,82.8,Y
IDCJAC0001,041034,1903,01,8.1,Y
IDCJAC0001,041034,1903,02,62.0,Y
IDCJAC0001,041034,1903,03,37.6,Y
IDCJAC0001,041034,1903,04,35.6,Y
IDCJAC0001,041034,1903,05,116.8,Y
IDCJAC0001,041034,1903,06,16.0,Y
IDCJAC0001,041034,1903,07,95.8,Y
IDCJAC0001,041034,1903,08,64.5,Y
IDCJAC0001,041034,1903,09,154.2,Y
IDCJAC0001,041034,1903,10,71.4,Y
IDCJAC0001,041034,1903,11,73.2,Y
IDCJAC0001,041034,1903,12,29.2,Y
IDCJAC0001,041034,1904,01,37.8,Y
IDCJAC0001,041034,1904,02,33.0,Y
IDCJAC0001,041034,1904,03,139.4,Y
IDCJAC0001,041034,1904,04,18.0,Y
IDCJAC0001,041034,1904,05,80.5,Y
IDCJAC0001,041034,1904,06,10.9,Y
IDCJAC0001,041034,1904,07,59.2,Y
IDCJAC0001,041034,1904,08,13.7,Y
IDCJAC0001,041034,1904,09,54.6,Y
IDCJAC0001,041034,1904,10,83.3,Y
IDCJAC0001,041034,1904,11,45.5,Y
IDCJAC0001,041034,1904,12,93.2,Y
IDCJAC0001,041034,1905,01,79.0,Y
IDCJAC0001,041034,1905,02,8.6,Y
IDCJAC0001,041034,1905,03,64.8,Y
IDCJAC0001,041034,1905,04,76.7,Y
IDCJAC0001,041034,1905,05,58.9,Y
IDCJAC0001,041034,1905,06,27.4,Y
IDCJAC0001,041034,1905,07,19.1,Y
IDCJAC0001,041034,1905,08,52.3,Y
IDCJAC0001,041034,1905,09,17.0,Y
IDCJAC0001,041034,1905,10,70.4,Y
IDCJAC0001,041034,1905,11,41.1,Y
IDCJAC0001,041034,1905,12,87.6,Y
IDCJAC0001,041034,1906,01,63.2,Y
IDCJAC0001,041034,1906,02,40.4,Y
IDCJAC0001,041034,1906,03,82.6,Y
IDCJAC0001,041034,1906,04,0.0,Y
IDCJAC0001,041034,1906,05,15.5,Y
IDCJAC0001,041034,1906,06,16.5,Y
IDCJAC0001,041034,1906,07,28.7,Y
IDCJAC0001,041034,1906,08,93.2,Y
IDCJAC0001,041034,1906,09,61.5,Y
IDCJAC0001,041034,1906,10,99.3,Y
IDCJAC0001,041034,1906,11,62.2,Y
IDCJAC0001,041034,1906,12,97.0,Y
IDCJAC0001,041034,1907,01,136.1,Y
IDCJAC0001,041034,1907,02,46.5,Y
IDCJAC0001,041034,1907,03,128.5,Y
IDCJAC0001,041034,1907,04,9.1,Y
IDCJAC0001,041034,1907,05,46.7,Y
IDCJAC0001,041034,1907,06,62.0,Y
IDCJAC0001,041034,1907,07,32.3,Y
IDCJAC0001,041034,1907,08,19.8,Y
IDCJAC0001,041034,1907,09,2.5,Y
IDCJAC0001,041034,1907,10,27.4,Y
IDCJAC0001,041034,1907,11,110.5,Y
IDCJAC0001,041034,1907,12,23.6,Y
IDCJAC0001,041034,1908,01,29.5,Y
IDCJAC0001,041034,1908,02,145.3,Y
IDCJAC0001,041034,1908,03,87.6,Y
IDCJAC0001,041034,1908,04,31.0,Y
IDCJAC0001,041034,1908,05,1.5,Y
IDCJAC0001,041034,1908,06,36.8,Y
IDCJAC0001,041034,1908,07,24.9,Y
IDCJAC0001,041034,1908,08,58.4,Y
IDCJAC0001,041034,1908,09,39.9,Y
IDCJAC0001,041034,1908,10,14.7,Y
IDCJAC0001,041034,1908,11,138.2,Y
IDCJAC0001,041034,1908,12,38.4,Y
IDCJAC0001,041034,1909,01,12.4,Y
IDCJAC0001,041034,1909,02,140.0,Y
IDCJAC0001,041034,1909,03,27.9,Y
IDCJAC0001,041034,1909,04,58.9,Y
IDCJAC0001,041034,1909,05,31.5,Y
IDCJAC0001,041034,1909,06,51.3,Y
IDCJAC0001,041034,1909,07,39.6,Y
IDCJAC0001,041034,1909,08,70.1,Y
IDCJAC0001,041034,1909,09,34.8,Y
IDCJAC0001,041034,1909,10,78.2,Y
IDCJAC0001,041034,1909,11,59.4,Y
IDCJAC0001,041034,1909,12,68.8,Y
IDCJAC0001,041034,1910,01,131.8,Y
IDCJAC0001,041034,1910,02,64.8,Y
IDCJAC0001,041034,1910,03,70.1,Y
IDCJAC0001,041034,1910,04,15.2,Y
IDCJAC0001,041034,1910,05,7.9,Y
IDCJAC0001,041034,1910,06,80.3,Y
IDCJAC0001,041034,1910,07,30.5,Y
IDCJAC0001,041034,1910,08,15.7,Y
IDCJAC0001,041034,1910,09,30.2,Y
IDCJAC0001,041034,1910,10,54.6,Y
IDCJAC0001,041034,1910,11,61.7,Y
IDCJAC0001,041034,1910,12,87.6,Y
IDCJAC0001,041034,1911,01,130.0,Y
IDCJAC0001,041034,1911,02,39.4,Y
IDCJAC0001,041034,1911,03,51.8,Y
IDCJAC0001,041034,1911,04,13.0,Y
IDCJAC0001,041034,1911,05,48.5,Y
IDCJAC0001,041034,1911,06,2.5,Y
IDCJAC0001,041034,1911,07,35.3,Y
IDCJAC0001,041034,1911,08,22.9,Y
IDCJAC0001,041034,1911,09,25.7,Y
IDCJAC0001,041034,1911,10,90.2,Y
IDCJAC0001,041034,1911,11,21.8,Y
IDCJAC0001,041034,1911,12,17.8,Y
IDCJAC0001,041034,1912,01,38.1,Y
IDCJAC0001,041034,1912,02,66.5,Y
IDCJAC0001,041034,1912,03,87.1,Y
IDCJAC0001,041034,1912,04,1.8,Y
IDCJAC0001,041034,1912,05,7.6,Y
IDCJAC0001,041034,1912,06,136.1,Y
IDCJAC0001,041034,1912,07,72.9,Y
IDCJAC0001,041034,1912,08,41.1,Y
IDCJAC0001,041034,1912,09,22.9,Y
IDCJAC0001,041034,1912,10,145.5,Y
IDCJAC0001,041034,1912,11,59.9,Y
IDCJAC0001,041034,1912,12,25.9,Y
IDCJAC0001,041034,1913,01,120.9,Y
IDCJAC0001,041034,1913,02,10.2,Y
IDCJAC0001,041034,1913,03,69.3,Y
IDCJAC0001,041034,1913,04,7.9,Y
IDCJAC0001,041034,1913,05,73.2,Y
IDCJAC0001,041034,1913,06,81.3,Y
IDCJAC0001,041034,1913,07,32.0,Y
IDCJAC0001,041034,1913,08,0.0,Y
IDCJAC0001,041034,1913,09,52.3,Y
IDCJAC0001,041034,1913,10,31.8,Y
IDCJAC0001,041034,1913,11,16.0,Y
IDCJAC0001,041034,1913,12,13.7,Y
IDCJAC0001,041034,1914,01,143.3,Y
IDCJAC0001,041034,1914,02,67.6,Y
IDCJAC0001,041034,1914,03,124.0,Y
IDCJAC0001,041034,1914,04,56.9,Y
IDCJAC0001,041034,1914,05,104.6,Y
IDCJAC0001,041034,1914,06,71.1,Y
IDCJAC0001,041034,1914,07,51.8,Y
IDCJAC0001,041034,1914,08,4.1,Y
IDCJAC0001,041034,1914,09,4.6,Y
IDCJAC0001,041034,1914,10,37.6,Y
IDCJAC0001,041034,1914,11,27.4,Y
IDCJAC0001,041034,1914,12,43.7,Y
IDCJAC0001,041034,1915,01,31.5,Y
IDCJAC0001,041034,1915,02,7.6,Y
IDCJAC0001,041034,1915,03,9.7,Y
IDCJAC0001,041034,1915,04,20.8,Y
IDCJAC0001,041034,1915,05,55.4,Y
IDCJAC0001,041034,1915,06,22.1,Y
IDCJAC0001,041034,1915,07,47.8,Y
IDCJAC0001,041034,1915,08,36.6,Y
IDCJAC0001,041034,1915,09,33.8,Y
IDCJAC0001,041034,1915,10,10.9,Y
IDCJAC0001,041034,1915,11,6.9,Y
IDCJAC0001,041034,1915,12,133.9,Y
IDCJAC0001,041034,1916,01,82.8,Y
IDCJAC0001,041034,1916,02,175.2,Y
IDCJAC0001,041034,1916,03,41.1,Y
IDCJAC0001,041034,1916,04,126.6,Y
IDCJAC0001,041034,1916,05,2.5,Y
IDCJAC0001,041034,1916,06,85.3,Y
IDCJAC0001,041034,1916,07,64.0,Y
IDCJAC0001,041034,1916,08,53.3,Y
IDCJAC0001,041034,1916,09,31.8,Y
IDCJAC0001,041034,1916,10,43.3,Y
IDCJAC0001,041034,1916,11,102.0,Y
IDCJAC0001,041034,1916,12,69.5,Y
IDCJAC0001,041034,1917,01,130.6,Y
IDCJAC0001,041034,1917,02,100.1,Y
IDCJAC0001,041034,1917,03,38.9,Y
IDCJAC0001,041034,1917,04,0.0,Y
IDCJAC0001,041034,1917,05,5.1,Y
IDCJAC0001,041034,1917,06,19.6,Y
IDCJAC0001,041034,1917,07,29.7,Y
IDCJAC0001,041034,1917,08,22.6,Y
IDCJAC0001,041034,1917,09,183.6,Y
IDCJAC0001,041034,1917,10,90.7,Y
IDCJAC0001,041034,1917,11,117.9,Y
IDCJAC0001,041034,1917,12,158.5,Y
IDCJAC0001,041034,1918,01,107.7,Y
IDCJAC0001,041034,1918,02,7.9,Y
IDCJAC0001,041034,1918,03,7.6,Y
IDCJAC0001,041034,1918,04,36.1,Y
IDCJAC0001,041034,1918,05,7.1,Y
IDCJAC0001,041034,1918,06,17.0,Y
IDCJAC0001,041034,1918,07,10.7,Y
IDCJAC0001,041034,1918,08,63.0,Y
IDCJAC0001,041034,1918,09,9.9,Y
IDCJAC0001,041034,1918,10,18.0,Y
IDCJAC0001,041034,1918,11,25.4,Y
IDCJAC0001,041034,1918,12,46.7,Y
IDCJAC0001,041034,1919,01,20.3,Y
IDCJAC0001,041034,1919,02,73.4,Y
IDCJAC0001,041034,1919,03,108.0,Y
IDCJAC0001,041034,1919,04,5.1,Y
IDCJAC0001,041034,1919,05,34.0,Y
IDCJAC0001,041034,1919,06,8.9,Y
IDCJAC0001,041034,1919,07,3.8,Y
IDCJAC0001,041034,1919,08,17.5,Y
IDCJAC0001,041034,1919,09,2.8,Y
IDCJAC0001,041034,1919,10,22.4,Y
IDCJAC0001,041034,1919,11,25.1,Y
IDCJAC0001,041034,1919,12,44.5,Y
IDCJAC0001,041034,1920,01,122.9,Y
IDCJAC0001,041034,1920,02,24.1,Y
IDCJAC0001,041034,1920,03,47.5,Y
IDCJAC0001,041034,1920,04,14.5,Y
IDCJAC0001,041034,1920,05,55.4,Y
IDCJAC0001,041034,1920,06,108.7,Y
IDCJAC0001,041034,1920,07,102.9,Y
IDCJAC0001,041034,1920,08,46.7,Y
IDCJAC0001,041034,1920,09,56.4,Y
IDCJAC0001,041034,1920,10,64.3,Y
IDCJAC0001,041034,1920,11,41.1,Y
IDCJAC0001,041034,1920,12,59.7,Y
IDCJAC0001,041034,1921,01,24.7,Y
IDCJAC0001,041034,1921,02,25.2,Y
IDCJAC0001,041034,1921,03,78.7,Y
IDCJAC0001,041034,1921,04,9.4,Y
IDCJAC0001,041034,1921,05,60.0,Y
IDCJAC0001,041034,1921,06,138.9,Y
IDCJAC0001,041034,1921,07,88.2,Y
IDCJAC0001,041034,1921,08,25.7,Y
IDCJAC0001,041034,1921,09,63.0,Y
IDCJAC0001,041034,1921,10,58.1,Y
IDCJAC0001,041034,1921,11,50.6,Y
IDCJAC0001,041034,1921,12,183.1,Y
IDCJAC0001,041034,1922,01,34.3,Y
IDCJAC0001,041034,1922,02,13.0,Y
IDCJAC0001,041034,1922,03,13.2,Y
IDCJAC0001,041034,1922,04,3.3,Y
IDCJAC0001,041034,1922,05,0.0,Y
IDCJAC0001,041034,1922,06,57.9,Y
IDCJAC0001,041034,1922,07,73.4,Y
IDCJAC0001,041034,1922,08,15.8,Y
IDCJAC0001,041034,1922,09,32.6,Y
IDCJAC0001,041034,1922,10,44.0,Y
IDCJAC0001,041034,1922,11,82.0,Y
IDCJAC0001,041034,1922,12,131.1,Y
IDCJAC0001,041034,1923,01,68.2,Y
IDCJAC0001,041034,1923,02,0.0,Y
IDCJAC0001,041034,1923,03,17.8,Y
IDCJAC0001,041034,1923,04,10.4,Y
IDCJAC0001,041034,1923,05,7.9,Y
IDCJAC0001,041034,1923,06,88.4,Y
IDCJAC0001,041034,1923,07,36.8,Y
IDCJAC0001,041034,1923,08,10.9,Y
IDCJAC0001,041034,1923,09,68.6,Y
IDCJAC0001,041034,1923,10,25.4,Y
IDCJAC0001,041034,1923,11,18.6,Y
IDCJAC0001,041034,1923,12,73.9,Y
IDCJAC0001,041034,1924,01,156.0,Y
IDCJAC0001,041034,1924,02,153.9,Y
IDCJAC0001,041034,1924,03,41.6,Y
IDCJAC0001,041034,1924,04,69.4,Y
IDCJAC0001,041034,1924,05,18.5,Y
IDCJAC0001,041034,1924,06,53.3,Y
IDCJAC0001,041034,1924,07,48.6,Y
