Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,041100,1983,02,18.8,Y
IDCJAC0004,041100,1983,03,16.3,Y
IDCJAC0004,041100,1983,04,10.2,Y
IDCJAC0004,041100,1983,05,11.0,Y
IDCJAC0004,041100,1983,06,4.4,Y
IDCJAC0004,041100,1983,07,5.0,Y
IDCJAC0004,041100,1983,08,4.9,Y
IDCJAC0004,041100,1983,09,9.4,Y
IDCJAC0004,041100,1983,10,11.5,Y
IDCJAC0004,041100,1983,11,14.1,Y
IDCJAC0004,041100,1983,12,15.1,Y
IDCJAC0004,041100,1984,01,17.6,Y
IDCJAC0004,041100,1984,02,17.5,Y
IDCJAC0004,041100,1984,03,14.7,Y
IDCJAC0004,041100,1984,04,9.6,Y
IDCJAC0004,041100,1984,05,3.8,Y
IDCJAC0004,041100,1984,06,2.6,Y
IDCJAC0004,041100,1984,07,3.1,Y
IDCJAC0004,041100,1984,08,2.6,Y
IDCJAC0004,041100,1984,09,3.9,Y
IDCJAC0004,041100,1984,10,9.6,Y
IDCJAC0004,041100,1984,11,13.4,Y
IDCJAC0004,041100,1984,12,15.5,Y
IDCJAC0004,041100,1985,01,15.8,Y
IDCJAC0004,041100,1985,02,16.6,Y
IDCJAC0004,041100,1985,03,15.2,Y
IDCJAC0004,041100,1985,04,9.8,Y
IDCJAC0004,041100,1985,05,6.4,Y
IDCJAC0004,041100,1985,06,1.6,Y
IDCJAC0004,041100,1985,07,2.1,Y
IDCJAC0004,041100,1985,08,4.5,Y
IDCJAC0004,041100,1985,09,6.0,Y
IDCJAC0004,041100,1985,10,10.0,Y
IDCJAC0004,041100,1985,11,14.6,Y
IDCJAC0004,041100,1985,12,15.3,Y
IDCJAC0004,041100,1986,01,17.4,Y
IDCJAC0004,041100,1986,02,16.9,Y
IDCJAC0004,041100,1986,03,14.6,Y
IDCJAC0004,041100,1986,04,12.3,Y
IDCJAC0004,041100,1986,05,8.7,Y
IDCJAC0004,041100,1986,06,0.8,Y
IDCJAC0004,041100,1986,07,4.5,Y
IDCJAC0004,041100,1986,08,3.7,Y
IDCJAC0004,041100,1986,09,5.9,Y
IDCJAC0004,041100,1986,10,9.7,Y
IDCJAC0004,041100,1986,11,13.1,Y
IDCJAC0004,041100,1986,12,14.0,Y
IDCJAC0004,041100,1988,01,17.3,Y
IDCJAC0004,041100,1988,02,15.0,Y
IDCJAC0004,041100,1988,03,13.3,Y
IDCJAC0004,041100,1988,04,14.3,Y
IDCJAC0004,041100,1988,05,8.2,Y
IDCJAC0004,041100,1988,06,3.5,Y
IDCJAC0004,041100,1988,07,4.2,Y
IDCJAC0004,041100,1988,08,4.3,Y
IDCJAC0004,041100,1988,09,9.7,Y
IDCJAC0004,041100,1988,10,11.0,Y
IDCJAC0004,041100,1988,11,12.5,Y
IDCJAC0004,041100,1988,12,17.3,Y
IDCJAC0004,041100,1989,01,16.7,Y
IDCJAC0004,041100,1989,02,17.4,Y
IDCJAC0004,041100,1989,03,18.1,Y
IDCJAC0004,041100,1989,04,14.1,Y
IDCJAC0004,041100,1989,05,10.7,Y
IDCJAC0004,041100,1989,06,4.1,Y
IDCJAC0004,041100,1989,07,1.4,Y
IDCJAC0004,041100,1989,08,1.0,Y
IDCJAC0004,041100,1989,09,4.9,Y
IDCJAC0004,041100,1989,10,10.7,Y
IDCJAC0004,041100,1989,11,13.6,Y
IDCJAC0004,041100,1989,12,16.8,Y
IDCJAC0004,041100,1990,01,17.2,Y
IDCJAC0004,041100,1990,02,17.9,Y
IDCJAC0004,041100,1990,03,15.1,Y
IDCJAC0004,041100,1990,04,15.4,Y
IDCJAC0004,041100,1990,05,9.3,Y
IDCJAC0004,041100,1990,06,4.5,Y
IDCJAC0004,041100,1990,07,3.7,Y
IDCJAC0004,041100,1990,08,3.7,Y
IDCJAC0004,041100,1990,09,6.6,Y
IDCJAC0004,041100,1990,10,11.5,Y
IDCJAC0004,041100,1990,11,15.2,Y
IDCJAC0004,041100,1990,12,18.6,Y
IDCJAC0004,041100,1991,01,18.9,Y
IDCJAC0004,041100,1991,02,18.2,Y
IDCJAC0004,041100,1991,03,14.8,Y
IDCJAC0004,041100,1991,04,9.5,Y
IDCJAC0004,041100,1991,05,9.9,Y
IDCJAC0004,041100,1991,06,5.6,Y
IDCJAC0004,041100,1991,07,2.0,Y
IDCJAC0004,041100,1991,08,3.4,Y
IDCJAC0004,041100,1991,09,6.1,Y
IDCJAC0004,041100,1991,10,12.4,Y
IDCJAC0004,041100,1991,11,15.6,Y
IDCJAC0004,041100,1991,12,16.1,Y
IDCJAC0004,041100,1992,01,18.5,Y
IDCJAC0004,041100,1992,02,19.2,Y
IDCJAC0004,041100,1992,03,14.1,Y
IDCJAC0004,041100,1992,04,12.6,Y
IDCJAC0004,041100,1992,05,9.1,Y
IDCJAC0004,041100,1992,06,2.5,Y
IDCJAC0004,041100,1992,07,1.7,Y
IDCJAC0004,041100,1992,08,4.0,Y
IDCJAC0004,041100,1992,09,6.4,Y
IDCJAC0004,041100,1992,10,10.1,Y
IDCJAC0004,041100,1992,11,13.6,Y
IDCJAC0004,041100,1992,12,16.7,Y
IDCJAC0004,041100,1993,01,20.0,Y
IDCJAC0004,041100,1993,02,18.3,Y
IDCJAC0004,041100,1993,03,14.4,Y
IDCJAC0004,041100,1993,04,11.0,Y
IDCJAC0004,041100,1993,05,8.0,Y
IDCJAC0004,041100,1993,06,3.7,Y
IDCJAC0004,041100,1993,07,8.3,Y
IDCJAC0004,041100,1993,08,4.4,Y
IDCJAC0004,041100,1993,09,8.2,Y
IDCJAC0004,041100,1993,10,11.6,Y
IDCJAC0004,041100,1993,11,15.0,Y
IDCJAC0004,041100,1993,12,16.3,Y
IDCJAC0004,041100,1994,01,19.1,Y
IDCJAC0004,041100,1994,02,18.3,Y
IDCJAC0004,041100,1994,03,14.0,Y
IDCJAC0004,041100,1994,04,10.7,Y
IDCJAC0004,041100,1994,05,5.2,Y
IDCJAC0004,041100,1994,06,3.8,Y
IDCJAC0004,041100,1994,07,1.3,Y
IDCJAC0004,041100,1994,08,2.2,Y
IDCJAC0004,041100,1994,09,4.6,Y
IDCJAC0004,041100,1994,10,11.2,Y
IDCJAC0004,041100,1994,11,15.5,Y
IDCJAC0004,041100,1994,12,18.0,Y
IDCJAC0004,041100,1995,01,18.2,Y
IDCJAC0004,041100,1995,02,18.3,Y
IDCJAC0004,041100,1995,03,14.9,Y
IDCJAC0004,041100,1995,04,8.8,Y
IDCJAC0004,041100,1995,05,9.8,Y
IDCJAC0004,041100,1995,06,4.5,Y
IDCJAC0004,041100,1995,07,2.7,Y
IDCJAC0004,041100,1995,08,4.6,Y
IDCJAC0004,041100,1995,09,8.5,Y
IDCJAC0004,041100,1995,10,12.0,Y
IDCJAC0004,041100,1995,11,17.4,Y
IDCJAC0004,041100,1995,12,16.1,Y
IDCJAC0004,041100,1996,01,19.4,Y
IDCJAC0004,041100,1996,02,16.4,Y
IDCJAC0004,041100,1996,03,14.2,Y
IDCJAC0004,041100,1996,04,9.0,Y
IDCJAC0004,041100,1996,05,9.8,Y
IDCJAC0004,041100,1996,06,6.7,Y
IDCJAC0004,041100,1996,07,3.3,Y
IDCJAC0004,041100,1996,08,5.2,Y
IDCJAC0004,041100,1996,09,6.7,Y
IDCJAC0004,041100,1996,10,11.4,Y
IDCJAC0004,041100,1996,11,13.1,Y
IDCJAC0004,041100,1996,12,16.5,Y
IDCJAC0004,041100,1997,01,16.3,Y
IDCJAC0004,041100,1997,02,19.4,Y
IDCJAC0004,041100,1997,03,15.1,Y
IDCJAC0004,041100,1997,04,10.1,Y
IDCJAC0004,041100,1997,05,9.9,Y
IDCJAC0004,041100,1997,06,5.1,Y
IDCJAC0004,041100,1997,08,2.7,Y
IDCJAC0004,041100,1997,09,8.9,Y
IDCJAC0004,041100,1997,10,12.0,Y
IDCJAC0004,041100,1997,11,16.7,Y
IDCJAC0004,041100,1997,12,19.0,Y
IDCJAC0004,041100,1998,01,19.5,Y
IDCJAC0004,041100,1998,02,19.3,Y
IDCJAC0004,041100,1998,03,16.2,Y
IDCJAC0004,041100,1998,04,14.2,Y
IDCJAC0004,041100,1998,05,8.7,Y
IDCJAC0004,041100,1998,06,5.8,Y
IDCJAC0004,041100,1998,07,6.5,Y
IDCJAC0004,041100,1998,08,8.1,Y
IDCJAC0004,041100,1998,09,10.6,Y
IDCJAC0004,041100,1998,10,11.0,Y
IDCJAC0004,041100,1998,11,13.3,Y
IDCJAC0004,041100,1998,12,17.2,Y
IDCJAC0004,041100,1999,01,18.7,Y
IDCJAC0004,041100,1999,02,17.5,Y
IDCJAC0004,041100,1999,03,17.3,Y
IDCJAC0004,041100,1999,04,9.5,Y
IDCJAC0004,041100,1999,05,9.4,Y
IDCJAC0004,041100,1999,06,4.0,Y
IDCJAC0004,041100,1999,07,6.1,Y
IDCJAC0004,041100,1999,08,4.0,Y
IDCJAC0004,041100,1999,09,8.1,Y
IDCJAC0004,041100,1999,10,14.4,Y
IDCJAC0004,041100,1999,11,12.9,Y
IDCJAC0004,041100,1999,12,15.5,Y
IDCJAC0004,041100,2000,01,17.3,Y
IDCJAC0004,041100,2000,02,16.6,Y
IDCJAC0004,041100,2000,03,17.3,Y
IDCJAC0004,041100,2000,04,13.5,Y
IDCJAC0004,041100,2000,05,8.9,Y
IDCJAC0004,041100,2000,06,4.5,Y
IDCJAC0004,041100,2000,07,3.6,Y
IDCJAC0004,041100,2000,08,5.0,Y
IDCJAC0004,041100,2000,09,9.4,Y
IDCJAC0004,041100,2000,10,12.8,Y
IDCJAC0004,041100,2000,11,16.3,Y
IDCJAC0004,041100,2000,12,18.1,Y
IDCJAC0004,041100,2001,01,19.5,Y
IDCJAC0004,041100,2001,02,18.5,Y
IDCJAC0004,041100,2001,03,16.8,Y
IDCJAC0004,041100,2001,04,12.4,Y
IDCJAC0004,041100,2001,05,7.4,Y
IDCJAC0004,041100,2001,06,6.1,Y
IDCJAC0004,041100,2001,07,5.0,Y
IDCJAC0004,041100,2001,08,3.3,Y
IDCJAC0004,041100,2001,09,7.9,Y
IDCJAC0004,041100,2001,10,11.1,Y
IDCJAC0004,041100,2001,11,14.2,Y
IDCJAC0004,041100,2001,12,18.1,Y
IDCJAC0004,041100,2002,01,18.3,Y
IDCJAC0004,041100,2002,02,19.3,Y
IDCJAC0004,041100,2002,03,16.5,Y
IDCJAC0004,041100,2002,04,12.4,Y
IDCJAC0004,041100,2002,05,6.8,Y
IDCJAC0004,041100,2002,06,4.2,Y
IDCJAC0004,041100,2002,07,0.6,Y
IDCJAC0004,041100,2002,08,5.1,Y
IDCJAC0004,041100,2002,09,9.0,Y
IDCJAC0004,041100,2002,10,12.3,Y
IDCJAC0004,041100,2002,11,17.4,Y
IDCJAC0004,041100,2002,12,16.7,Y
IDCJAC0004,041100,2003,01,18.5,Y
IDCJAC0004,041100,2003,02,20.0,Y
IDCJAC0004,041100,2003,03,16.0,Y
IDCJAC0004,041100,2003,04,12.7,Y
IDCJAC0004,041100,2003,05,8.0,Y
IDCJAC0004,041100,2003,06,6.2,Y
IDCJAC0004,041100,2003,07,4.9,Y
IDCJAC0004,041100,2003,08,6.4,Y
IDCJAC0004,041100,2003,09,7.5,Y
IDCJAC0004,041100,2003,10,11.3,Y
IDCJAC0004,041100,2003,11,14.6,Y
IDCJAC0004,041100,2003,12,18.9,Y
IDCJAC0004,041100,2004,01,19.8,Y
IDCJAC0004,041100,2004,02,20.1,Y
IDCJAC0004,041100,2004,03,17.1,Y
IDCJAC0004,041100,2004,04,13.4,Y
IDCJAC0004,041100,2004,05,7.0,Y
IDCJAC0004,041100,2004,06,4.0,Y
IDCJAC0004,041100,2004,07,3.7,Y
IDCJAC0004,041100,2004,08,4.5,Y
IDCJAC0004,041100,2004,09,8.4,Y
IDCJAC0004,041100,2004,10,12.5,Y
IDCJAC0004,041100,2004,11,15.4,Y
IDCJAC0004,041100,2004,12,17.6,Y
IDCJAC0004,041100,2005,01,19.2,Y
IDCJAC0004,041100,2005,02,18.7,Y
IDCJAC0004,041100,2005,03,15.5,Y
IDCJAC0004,041100,2005,04,12.9,Y
IDCJAC0004,041100,2005,05,8.2,Y
IDCJAC0004,041100,2005,06,7.7,Y
IDCJAC0004,041100,2005,07,5.9,Y
IDCJAC0004,041100,2005,08,4.6,Y
IDCJAC0004,041100,2005,09,9.4,Y
IDCJAC0004,041100,2005,10,14.9,Y
IDCJAC0004,041100,2005,11,16.4,Y
IDCJAC0004,041100,2005,12,19.4,Y
IDCJAC0004,041100,2006,01,20.8,Y
IDCJAC0004,041100,2006,02,20.2,Y
IDCJAC0004,041100,2006,03,17.0,Y
