Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,041100,1982,10,28.4,Y
IDCJAC0002,041100,1982,11,34.4,Y
IDCJAC0002,041100,1982,12,33.3,Y
IDCJAC0002,041100,1983,01,33.5,Y
IDCJAC0002,041100,1983,02,35.3,Y
IDCJAC0002,041100,1983,03,31.6,Y
IDCJAC0002,041100,1983,04,24.7,Y
IDCJAC0002,041100,1983,05,21.9,Y
IDCJAC0002,041100,1983,06,18.0,Y
IDCJAC0002,041100,1983,07,17.8,Y
IDCJAC0002,041100,1983,08,19.4,Y
IDCJAC0002,041100,1983,09,25.6,Y
IDCJAC0002,041100,1983,10,26.1,Y
IDCJAC0002,041100,1983,11,28.3,Y
IDCJAC0002,041100,1983,12,31.4,Y
IDCJAC0002,041100,1984,01,32.1,Y
IDCJAC0002,041100,1984,02,31.2,Y
IDCJAC0002,041100,1984,03,30.4,Y
IDCJAC0002,041100,1984,04,26.9,Y
IDCJAC0002,041100,1984,05,23.4,Y
IDCJAC0002,041100,1984,06,20.7,Y
IDCJAC0002,041100,1984,07,15.8,Y
IDCJAC0002,041100,1984,08,19.8,Y
IDCJAC0002,041100,1984,09,21.5,Y
IDCJAC0002,041100,1984,10,27.5,Y
IDCJAC0002,041100,1984,11,31.7,Y
IDCJAC0002,041100,1984,12,34.6,Y
IDCJAC0002,041100,1985,01,37.2,Y
IDCJAC0002,041100,1985,02,34.0,Y
IDCJAC0002,041100,1985,03,31.9,Y
IDCJAC0002,041100,1985,04,27.4,Y
IDCJAC0002,041100,1985,05,23.4,Y
IDCJAC0002,041100,1985,06,17.8,Y
IDCJAC0002,041100,1985,07,19.4,Y
IDCJAC0002,041100,1985,08,20.7,Y
IDCJAC0002,041100,1985,09,23.4,Y
IDCJAC0002,041100,1985,10,27.0,Y
IDCJAC0002,041100,1985,11,29.1,Y
IDCJAC0002,041100,1985,12,32.3,Y
IDCJAC0002,041100,1986,01,34.7,Y
IDCJAC0002,041100,1986,02,33.1,Y
IDCJAC0002,041100,1986,03,32.8,Y
IDCJAC0002,041100,1986,04,30.2,Y
IDCJAC0002,041100,1986,05,24.2,Y
IDCJAC0002,041100,1986,06,20.1,Y
IDCJAC0002,041100,1986,07,18.9,Y
IDCJAC0002,041100,1986,08,18.4,Y
IDCJAC0002,041100,1986,09,24.3,Y
IDCJAC0002,041100,1986,10,26.0,Y
IDCJAC0002,041100,1986,11,29.1,Y
IDCJAC0002,041100,1986,12,31.8,Y
IDCJAC0002,041100,1988,01,33.2,Y
IDCJAC0002,041100,1988,02,30.1,Y
IDCJAC0002,041100,1988,03,29.7,Y
IDCJAC0002,041100,1988,04,25.6,Y
IDCJAC0002,041100,1988,05,22.3,Y
IDCJAC0002,041100,1988,06,19.5,Y
IDCJAC0002,041100,1988,07,19.9,Y
IDCJAC0002,041100,1988,08,20.8,Y
IDCJAC0002,041100,1988,09,23.9,Y
IDCJAC0002,041100,1988,10,31.7,Y
IDCJAC0002,041100,1988,11,30.6,Y
IDCJAC0002,041100,1988,12,33.9,Y
IDCJAC0002,041100,1989,01,34.3,Y
IDCJAC0002,041100,1989,02,32.0,Y
IDCJAC0002,041100,1989,03,31.8,Y
IDCJAC0002,041100,1989,04,25.6,Y
IDCJAC0002,041100,1989,05,23.6,Y
IDCJAC0002,041100,1989,06,19.2,Y
IDCJAC0002,041100,1989,07,15.8,Y
IDCJAC0002,041100,1989,08,18.4,Y
IDCJAC0002,041100,1989,09,24.3,Y
IDCJAC0002,041100,1989,10,30.0,Y
IDCJAC0002,041100,1989,11,28.4,Y
IDCJAC0002,041100,1989,12,32.5,Y
IDCJAC0002,041100,1990,01,34.8,Y
IDCJAC0002,041100,1990,02,32.4,Y
IDCJAC0002,041100,1990,03,31.0,Y
IDCJAC0002,041100,1990,04,25.4,Y
IDCJAC0002,041100,1990,05,22.9,Y
IDCJAC0002,041100,1990,06,18.3,Y
IDCJAC0002,041100,1990,07,18.1,Y
IDCJAC0002,041100,1990,08,18.4,Y
IDCJAC0002,041100,1990,09,23.2,Y
IDCJAC0002,041100,1990,10,30.6,Y
IDCJAC0002,041100,1990,11,33.5,Y
IDCJAC0002,041100,1990,12,36.7,Y
IDCJAC0002,041100,1991,01,33.1,Y
IDCJAC0002,041100,1991,02,33.5,Y
IDCJAC0002,041100,1991,03,33.0,Y
IDCJAC0002,041100,1991,04,28.3,Y
IDCJAC0002,041100,1991,05,24.6,Y
IDCJAC0002,041100,1991,06,21.4,Y
IDCJAC0002,041100,1991,07,17.4,Y
IDCJAC0002,041100,1991,08,22.4,Y
IDCJAC0002,041100,1991,09,25.7,Y
IDCJAC0002,041100,1991,10,30.7,Y
IDCJAC0002,041100,1991,11,33.0,Y
IDCJAC0002,041100,1991,12,31.7,Y
IDCJAC0002,041100,1992,01,34.4,Y
IDCJAC0002,041100,1992,02,31.2,Y
IDCJAC0002,041100,1992,03,31.0,Y
IDCJAC0002,041100,1992,04,27.2,Y
IDCJAC0002,041100,1992,05,22.0,Y
IDCJAC0002,041100,1992,06,18.6,Y
IDCJAC0002,041100,1992,07,19.8,Y
IDCJAC0002,041100,1992,08,20.8,Y
IDCJAC0002,041100,1992,09,22.8,Y
IDCJAC0002,041100,1992,10,26.9,Y
IDCJAC0002,041100,1992,11,29.8,Y
IDCJAC0002,041100,1992,12,31.3,Y
IDCJAC0002,041100,1993,01,35.0,Y
IDCJAC0002,041100,1993,02,34.1,Y
IDCJAC0002,041100,1993,03,31.1,Y
IDCJAC0002,041100,1993,04,29.3,Y
IDCJAC0002,041100,1993,05,25.0,Y
IDCJAC0002,041100,1993,06,19.5,Y
IDCJAC0002,041100,1993,07,21.3,Y
IDCJAC0002,041100,1993,08,21.8,Y
IDCJAC0002,041100,1993,09,23.1,Y
IDCJAC0002,041100,1993,10,26.7,Y
IDCJAC0002,041100,1993,11,31.3,Y
IDCJAC0002,041100,1993,12,32.0,Y
IDCJAC0002,041100,1994,01,36.1,Y
IDCJAC0002,041100,1994,02,31.7,Y
IDCJAC0002,041100,1994,03,28.4,Y
IDCJAC0002,041100,1994,04,28.0,Y
IDCJAC0002,041100,1994,05,24.5,Y
IDCJAC0002,041100,1994,06,20.6,Y
IDCJAC0002,041100,1994,07,20.8,Y
IDCJAC0002,041100,1994,08,21.9,Y
IDCJAC0002,041100,1994,09,24.5,Y
IDCJAC0002,041100,1994,10,29.8,Y
IDCJAC0002,041100,1994,11,31.5,Y
IDCJAC0002,041100,1994,12,34.2,Y
IDCJAC0002,041100,1995,01,31.8,Y
IDCJAC0002,041100,1995,02,30.9,Y
IDCJAC0002,041100,1995,03,32.2,Y
IDCJAC0002,041100,1995,04,27.1,Y
IDCJAC0002,041100,1995,05,23.3,Y
IDCJAC0002,041100,1995,06,17.8,Y
IDCJAC0002,041100,1995,07,18.6,Y
IDCJAC0002,041100,1995,08,23.8,Y
IDCJAC0002,041100,1995,09,24.6,Y
IDCJAC0002,041100,1995,10,27.4,Y
IDCJAC0002,041100,1995,11,30.4,Y
IDCJAC0002,041100,1995,12,31.2,Y
IDCJAC0002,041100,1996,01,31.4,Y
IDCJAC0002,041100,1996,02,31.2,Y
IDCJAC0002,041100,1996,03,30.8,Y
IDCJAC0002,041100,1996,04,27.1,Y
IDCJAC0002,041100,1996,05,22.8,Y
IDCJAC0002,041100,1996,06,20.3,Y
IDCJAC0002,041100,1996,07,17.6,Y
IDCJAC0002,041100,1996,08,20.3,Y
IDCJAC0002,041100,1996,09,24.4,Y
IDCJAC0002,041100,1996,10,27.9,Y
IDCJAC0002,041100,1996,11,31.6,Y
IDCJAC0002,041100,1996,12,32.2,Y
IDCJAC0002,041100,1997,01,32.0,Y
IDCJAC0002,041100,1997,02,32.9,Y
IDCJAC0002,041100,1997,03,31.8,Y
IDCJAC0002,041100,1997,04,28.9,Y
IDCJAC0002,041100,1997,05,22.5,Y
IDCJAC0002,041100,1997,06,19.7,Y
IDCJAC0002,041100,1997,08,21.7,Y
IDCJAC0002,041100,1997,09,25.1,Y
IDCJAC0002,041100,1997,10,27.8,Y
IDCJAC0002,041100,1997,11,31.7,Y
IDCJAC0002,041100,1997,12,35.2,Y
IDCJAC0002,041100,1998,01,34.0,Y
IDCJAC0002,041100,1998,02,34.2,Y
IDCJAC0002,041100,1998,03,34.9,Y
IDCJAC0002,041100,1998,04,27.9,Y
IDCJAC0002,041100,1998,05,22.2,Y
IDCJAC0002,041100,1998,06,18.4,Y
IDCJAC0002,041100,1998,07,17.9,Y
IDCJAC0002,041100,1998,08,20.8,Y
IDCJAC0002,041100,1998,09,23.9,Y
IDCJAC0002,041100,1998,10,26.3,Y
IDCJAC0002,041100,1998,11,28.5,Y
IDCJAC0002,041100,1998,12,33.6,Y
IDCJAC0002,041100,1999,01,34.7,Y
IDCJAC0002,041100,1999,02,32.3,Y
IDCJAC0002,041100,1999,03,30.4,Y
IDCJAC0002,041100,1999,04,26.3,Y
IDCJAC0002,041100,1999,05,24.7,Y
IDCJAC0002,041100,1999,06,19.8,Y
IDCJAC0002,041100,1999,07,19.8,Y
IDCJAC0002,041100,1999,08,22.1,Y
IDCJAC0002,041100,1999,09,25.9,Y
IDCJAC0002,041100,1999,10,28.3,Y
IDCJAC0002,041100,1999,11,26.8,Y
IDCJAC0002,041100,1999,12,29.6,Y
IDCJAC0002,041100,2000,01,32.7,Y
IDCJAC0002,041100,2000,02,31.8,Y
IDCJAC0002,041100,2000,03,31.1,Y
IDCJAC0002,041100,2000,04,27.1,Y
IDCJAC0002,041100,2000,05,23.0,Y
IDCJAC0002,041100,2000,06,19.0,Y
IDCJAC0002,041100,2000,07,19.0,Y
IDCJAC0002,041100,2000,08,21.1,Y
IDCJAC0002,041100,2000,09,28.1,Y
IDCJAC0002,041100,2000,10,27.8,Y
IDCJAC0002,041100,2000,11,28.3,Y
IDCJAC0002,041100,2000,12,32.1,Y
IDCJAC0002,041100,2001,01,35.4,Y
IDCJAC0002,041100,2001,02,32.8,Y
IDCJAC0002,041100,2001,03,30.8,Y
IDCJAC0002,041100,2001,04,27.5,Y
IDCJAC0002,041100,2001,05,21.7,Y
IDCJAC0002,041100,2001,06,21.2,Y
IDCJAC0002,041100,2001,07,18.9,Y
